"City","Fatalities","Median.Age","Male.Population","Female.Population","Foreign.born","Average.Household.Size","White","Black or African-American","Hispanic or Latino","Asian","American Indian and Alaska Native"
"McAllen",2,32.3,68332,71921,37691,3.19,107763,3332,113829,5575,664
"Menifee",2,37.1,42866,44297,12481,3.06,62331,7773,29790,7108,1639
"Missoula",2,34.7,35002,36022,2771,2.15,66504,1149,2474,2292,3618
"Napa",2,37.2,39828,40601,18449,2.84,57837,675,33229,3593,1751
"New Braunfels",2,37,33071,36852,5405,2.85,63789,3471,22522,1610,648
"Olathe",2,33,65046,69270,11913,2.97,120282,9518,16131,6288,1872
"Orange",2,35,67337,73658,34550,3.14,100083,2853,46255,22457,658
"Palm Bay",2,40.7,51767,56128,12070,2.82,84328,20891,16841,1124,1603
"Pittsburg",2,34.5,33309,36118,21043,3.15,25996,14931,28605,13981,2253
"Plymouth",2,38.4,39035,36893,8830,2.46,63872,6938,3274,5561,760
"Provo",2,23.6,56231,59027,10925,3.28,108471,1062,16668,4104,1916
"Rancho Cordova",2,33.8,34844,36182,17020,2.86,47757,9307,13970,12653,1940
"Redlands",2,36.2,33993,37035,8681,2.82,55241,6973,19698,6255,811
"Redondo Beach",2,43,34855,33330,13536,2.34,53811,2234,8858,13118,1007
"Richardson",2,35.5,54676,56151,29579,2.83,76116,13256,15762,20724,1439
"Riverview",2,32.2,44210,45536,12240,3.22,60793,15159,23317,3582,726
"Round Rock",2,34.9,56646,59193,18237,3.13,92278,13636,37151,9685,1551
"Saint Louis",2,35,153026,162659,21802,2.16,155574,151030,12261,12209,2746
"Saint Petersburg",2,41.8,123524,133564,28567,2.42,179121,67798,20483,10893,2716
"San Leandro",2,41.8,43032,47679,34293,2.79,40182,11100,26894,34019,1540
"San Mateo",2,39.3,50966,52558,34957,2.64,62656,2880,23151,30573,682
"Santa Clarita",2,38.1,90192,92175,40666,3.02,144949,9223,56944,23168,4441
"Santa Fe",2,44.1,40601,43511,13824,2.41,75494,1284,45884,1878,2960
"Somerville",2,31,41028,39306,22292,2.43,62927,7140,8790,9498,374
"Southfield",2,41.6,31369,41808,4011,2.27,18296,54200,573,1345,983
"Spokane Valley",2,36,49933,44975,4199,2.39,91125,1192,5110,1336,2473
"Spring Hill",2,45.1,48295,54902,7893,2.58,91742,7689,15838,2409,1254
"Surprise",2,39.4,62875,65567,9929,2.9,115419,9079,25366,3153,1883
